#{"t_start": 1683691821.7579443, "env_id": "TurtleBot3tentabot_drl-v00"}
r,l,t
39.021445,118,12924.701383
30,1,12926.248933
-4.113859,59,12937.988805
39.277988,102,12957.468711
38.959149,97,12975.920364
38.552177,141,13001.920879
39.087926,100,13021.008527
39.488327,145,13048.766082
38.468716,84,13065.351784
39.495348,171,13096.58
39.403727,106,13116.737601
-6.577326,24,13122.274589
38.395606,124,13145.850403
-8.300908,50,13155.77634
38.775065,99,13174.921202
38.264582,85,13191.350612
39.250121,108,13211.839196
39.093174,151,13241.166429
-5.252977,96,13259.543909
38.994663,105,13279.719081
38.556484,91,13297.218605
38.473168,122,13320.072621
38.842285,105,13340.06585
-0.02342,133,13364.994567
39.504832,144,13391.915382
39.209309,111,13412.710997
-8.776108,20,13417.809914
39.918128,111,13439.690261
39.242948,102,13459.139019
-3.184502,50,13469.495054
39.356633,92,13486.984374
39.327164,184,13521.11996
39.048263,98,13539.628974
-1.488948,90,13557.142811
-4.9128,75,13571.62608
39.178915,95,13589.770659
39.570959,124,13613.017938
38.649237,106,13633.836228
39.279665,118,13656.093719
39.363605,130,13680.532389
-4.470454,69,13693.985271
38.814569,108,13714.442626
39.083387,133,13739.780692
-3.831028,76,13754.522356
39.0705,109,13774.947703
38.924652,147,13802.307932
38.594739,120,13825.686581
39.186265,127,13849.390294
-2.686155,78,13864.95656
39.423327,127,13888.4591
39.264587,89,13905.342688
39.359147,203,13942.743332
39.018209,105,13962.50115
-4.863141,67,13975.794508
38.750281,81,13991.52952
-3.861879,54,14003.339416
39.564103,135,14028.456556
38.26886,98,14047.484895
-4.7329,39,14055.679633
38.853886,125,14078.984768
-3.413553,75,14093.428146
39.720188,195,14129.509813
38.722948,95,14147.745669
39.05621,156,14176.782694
-4.92979,85,14194.019141
39.830417,145,14221.081555
39.36287,119,14243.75781
-0.091747,192,14278.904691
0.060221,109,14299.555841
39.197158,203,14336.911582
39.565949,103,14356.599107
39.132322,110,14378.284231
39.103005,161,14408.008095
39.23917,244,14452.946929
39.673281,144,14479.90388
-4.466281,95,14498.012061
39.590606,120,14520.666409
38.291743,142,14547.393906
39.116325,128,14572.223761
-4.550583,72,14586.403045
39.306138,114,14607.732506
38.689452,146,14634.641363
39.341694,115,14656.087931
39.602495,116,14677.898609
39.812103,148,14705.694329
39.229025,187,14740.063707
38.529993,120,14763.537059
-4.717437,60,14775.874411
39.549413,106,14795.950425
-2.968804,56,14807.381932
39.206033,120,14830.098225
39.702757,144,14856.943766
-2.956812,75,14871.797253
38.330804,87,14888.513469
38.856296,155,14916.925429
39.612495,96,14935.455893
39.475058,92,14953.847379
38.424629,127,14977.94836
38.309721,167,15008.618085
-0.704686,81,15024.503126
39.353058,114,15045.82669
38.625435,129,15069.959197
39.235856,98,15088.629272
38.793817,137,15114.321302
38.881891,140,15141.51635
38.880995,122,15164.438785
39.286563,116,15186.462936
39.772771,109,15207.217149
39.642783,157,15236.083697
-3.495512,47,15246.049927
39.147395,120,15268.725324
39.26766,117,15290.577312
39.55579,120,15312.884873
39.19462,137,15339.101654
38.639799,85,15355.402369
-3.08332,62,15367.656868
39.038233,127,15391.385042
39.266819,201,15428.102918
39.687042,104,15448.119497
39.461091,162,15478.173912
38.214232,81,15494.014063
-0.388598,98,15513.840973
39.211052,188,15548.660452
39.149603,92,15566.556962
38.957861,104,15586.424749
38.629688,126,15610.22325
39.748812,122,15633.085544
-2.813467,92,15650.602739
39.320095,156,15679.568847
39.501211,115,15702.104934
-8.744483,36,15709.712613
-8.688273,21,15714.578958
39.208942,121,15737.357123
38.841699,192,15772.496164
38.770326,97,15791.187509
-5.903919,107,15811.162719
-3.864089,59,15822.903085
-3.43688,73,15837.245387
38.392843,120,15859.832079
38.494286,123,15883.362365
39.398355,127,15908.153115
-4.83092,59,15919.782769
39.816322,162,15949.673394
-3.769345,59,15961.700625
39.188336,109,15982.181954
-4.125768,60,15994.278951
39.453723,92,16012.002598
-4.54425,74,16026.314084
38.391436,91,16043.975679
-2.928641,67,16057.36737
38.807349,117,16079.631666
38.755204,99,16099.654302
38.514836,179,16132.921402
38.781818,100,16151.906877
39.142295,91,16169.417796
-5.067831,94,16187.23026
38.751654,123,16210.426276
-6.476436,34,16217.774761
39.270929,106,16237.757517
39.498157,128,16261.784738
-5.459208,32,16269.116527
39.235527,86,16286.790457
39.131152,116,16308.64423
39.534773,95,16326.886193
38.90324,96,16345.43035
38.742342,97,16364.051757
39.900163,122,16386.711121
-3.70471,55,16397.970378
-5.059301,55,16409.480862
